date,coronavirus,sanremo,elezioni,regionali,calcio,campionato,champions,serie a,eurovision,morricone,meteo,papa francesco,papa,beirut,viviana parisi,gioele,viviana,ps5,playstation,lotto,roma,sondaggi
2019-12-06,0,0,1,1,40,24,3,19,0,0,43,2,5,0,0,0,1,1,16,41,100,15
2019-12-07,0,1,1,1,67,61,4,56,0,0,39,2,6,0,0,0,1,1,18,80,73,14
2019-12-08,0,1,1,1,97,70,6,70,1,0,40,5,8,0,0,0,1,2,17,45,59,24
2019-12-09,0,0,1,1,40,18,11,11,1,0,47,2,9,0,0,0,1,1,18,30,62,19
2019-12-10,0,0,1,1,43,12,87,5,0,0,49,2,6,0,0,0,1,1,18,60,58,19
2019-12-11,0,0,1,1,45,9,100,4,0,0,60,2,7,0,0,0,1,1,20,40,58,15
2019-12-12,0,0,3,1,38,9,33,4,0,0,82,2,6,0,0,0,1,1,19,62,91,21
2019-12-13,0,1,6,1,33,12,15,7,0,0,83,3,6,0,0,0,1,2,21,37,76,16
2019-12-14,0,1,1,2,68,51,7,44,1,0,47,3,7,0,0,0,2,3,26,81,69,16
2019-12-15,0,1,1,2,91,85,7,86,1,0,43,7,9,0,0,0,1,2,25,39,71,13
2019-12-16,0,1,1,1,50,31,67,26,0,0,40,2,7,0,0,0,1,1,22,30,63,16
2019-12-17,0,1,1,1,36,17,7,12,1,0,43,10,10,0,0,0,1,1,18,66,61,19
2019-12-18,0,1,1,1,42,26,5,24,0,0,48,4,9,0,0,0,1,2,19,42,63,18
2019-12-19,0,1,1,1,34,15,3,12,0,0,56,3,7,0,0,0,1,1,21,68,62,18
2019-12-20,0,1,1,1,36,20,2,16,1,0,61,4,7,0,0,0,1,2,23,45,71,16
2019-12-21,0,1,1,1,56,50,3,45,1,0,67,4,8,0,0,0,1,2,30,94,69,11
2019-12-22,0,1,0,1,75,60,4,57,1,0,59,4,8,0,0,0,1,1,33,52,64,10
2019-12-23,0,1,1,1,34,13,2,11,0,0,44,3,6,0,0,0,0,1,26,45,61,17
2019-12-24,0,1,1,1,27,12,2,4,1,0,32,12,14,0,0,0,1,1,30,100,50,13
2019-12-25,0,1,1,1,29,10,2,4,1,0,39,9,17,0,0,0,1,2,44,56,53,11
2019-12-26,0,1,1,1,41,16,3,5,1,0,42,4,9,0,0,0,1,2,34,37,61,12
2019-12-27,0,1,1,1,30,11,2,4,0,0,48,2,6,0,0,0,1,1,25,70,66,17
2019-12-28,0,1,1,2,37,14,2,4,1,0,56,4,7,0,0,0,1,1,27,92,63,16
2019-12-29,0,1,1,2,47,21,2,5,0,0,49,3,8,0,0,0,0,2,24,46,64,15
2019-12-30,0,1,1,2,30,9,1,3,0,0,44,3,8,0,0,0,1,1,19,38,65,19
2019-12-31,0,3,1,1,27,9,2,3,1,0,35,6,11,0,0,0,0,1,18,87,60,15
2020-01-01,0,1,1,1,31,12,2,4,1,0,36,100,100,0,0,0,1,2,22,53,67,15
2020-01-02,0,1,1,1,29,11,2,4,1,0,33,68,67,0,0,0,2,1,20,75,65,18
2020-01-03,0,1,1,2,35,13,2,6,1,0,35,31,32,0,0,0,1,2,18,45,65,17
2020-01-04,0,1,1,1,41,23,2,13,0,0,36,20,23,0,0,0,1,2,23,90,65,16
2020-01-05,0,1,1,2,69,62,2,58,0,0,38,15,18,0,0,0,1,2,21,43,80,16
2020-01-06,0,2,1,1,68,69,3,79,1,0,33,9,12,0,0,0,1,2,20,30,59,16
2020-01-07,0,2,1,1,34,15,2,14,1,0,32,5,9,0,0,0,1,10,18,66,62,21
2020-01-08,0,1,1,2,33,9,2,5,0,0,30,5,9,0,0,0,1,4,14,41,58,18
2020-01-09,0,1,1,2,34,10,2,5,0,0,27,3,8,0,0,0,1,3,13,63,61,28
2020-01-10,0,1,1,2,35,13,2,8,1,0,30,3,7,0,0,0,1,2,13,40,61,23
2020-01-11,0,1,1,2,67,61,2,61,1,1,28,4,8,0,0,0,1,2,17,73,60,21
2020-01-12,0,1,2,2,85,73,3,77,1,0,29,5,8,0,0,0,0,3,16,39,94,18
2020-01-13,0,1,1,2,41,20,2,16,0,0,28,5,9,0,0,0,1,2,13,29,71,20
2020-01-14,0,2,1,2,44,13,2,8,0,0,29,4,9,0,0,0,1,2,15,62,72,21
2020-01-15,0,1,1,2,38,13,2,6,0,0,32,4,7,0,0,0,1,2,15,41,67,22
2020-01-16,0,2,2,2,38,11,2,5,1,0,34,3,6,0,0,0,1,2,17,67,81,24
2020-01-17,0,2,1,2,38,14,1,8,1,0,45,3,6,0,0,0,1,2,14,44,75,22
2020-01-18,0,2,2,2,64,57,2,48,1,0,49,3,7,0,0,0,1,1,18,71,73,20
2020-01-19,0,2,2,3,96,89,2,91,1,1,34,3,6,0,0,0,1,2,19,34,75,21
2020-01-20,0,2,2,3,45,27,2,21,1,0,34,2,5,0,0,0,1,1,12,31,63,28
2020-01-21,0,2,2,3,44,14,2,9,0,0,31,2,6,0,0,0,1,1,12,63,61,29
2020-01-22,1,2,3,3,45,12,2,5,1,0,29,3,6,0,0,0,1,1,10,39,78,35
2020-01-23,2,2,3,4,39,11,2,5,0,0,30,2,6,0,0,0,1,1,10,67,68,38
2020-01-24,2,2,4,5,42,19,2,16,1,0,40,2,5,0,0,0,1,1,12,39,67,45
2020-01-25,3,2,6,8,64,55,3,49,0,0,41,2,7,0,0,0,1,1,12,74,66,38
2020-01-26,4,2,63,80,97,82,3,89,0,0,33,4,8,0,0,0,1,1,16,36,99,100
2020-01-27,4,1,100,100,43,19,2,16,1,0,33,2,6,0,0,0,1,1,12,27,63,37
2020-01-28,8,2,7,7,41,10,2,6,1,0,38,2,5,0,0,0,1,1,11,63,60,16
2020-01-29,7,1,3,4,42,11,2,6,1,0,31,2,5,0,0,0,1,1,12,40,60,13
2020-01-30,15,2,2,2,41,11,2,5,1,0,29,2,5,0,0,0,1,1,8,66,68,12
2020-01-31,22,2,1,1,49,15,2,9,0,0,35,2,6,0,0,0,1,1,12,42,72,14
2020-02-01,12,3,1,2,69,55,2,48,1,0,40,3,6,0,0,0,1,1,13,79,78,10
2020-02-02,8,6,1,2,94,99,3,97,1,0,34,3,6,0,0,0,1,2,15,39,60,9
2020-02-03,5,7,1,1,49,28,3,24,1,0,36,2,6,0,0,0,1,1,13,31,57,13
2020-02-04,5,29,1,1,35,14,3,10,2,0,53,2,5,0,0,0,1,2,13,68,61,12
2020-02-05,4,55,1,1,35,19,2,16,4,0,50,3,6,0,0,0,1,3,12,40,56,12
2020-02-06,4,50,1,1,31,13,2,10,3,0,32,2,5,0,0,0,1,2,12,63,54,8
2020-02-07,5,51,1,1,37,23,2,19,2,0,28,2,5,0,0,0,1,2,10,40,73,11
2020-02-08,4,80,1,1,60,61,3,59,8,0,27,2,5,0,0,0,1,2,12,70,60,9
2020-02-09,4,100,1,1,94,91,3,94,16,0,34,2,6,0,0,0,1,1,13,33,52,7
2020-02-10,4,13,1,1,39,22,3,19,5,0,41,1,5,0,0,0,1,1,10,28,58,15
2020-02-11,5,7,1,1,34,11,3,6,4,0,34,2,6,0,0,0,0,1,11,62,57,11
2020-02-12,4,5,1,1,34,11,3,5,2,0,30,2,6,0,0,0,1,1,11,39,57,17
2020-02-13,4,4,1,1,33,11,3,6,2,0,37,2,6,0,0,0,1,1,10,66,58,16
2020-02-14,4,3,1,1,32,16,4,8,3,0,36,2,7,0,0,0,1,1,10,40,62,13
2020-02-15,4,4,1,1,66,58,6,51,3,0,29,1,6,0,0,0,1,2,13,76,76,14
2020-02-16,3,3,1,2,100,100,6,100,2,0,31,2,6,0,0,0,1,1,14,37,60,13
2020-02-17,3,2,1,2,43,31,9,30,2,0,33,2,6,0,0,0,1,1,11,28,57,17
2020-02-18,3,2,1,1,34,17,52,10,2,0,34,2,6,0,0,0,1,1,11,62,60,16
2020-02-19,3,2,1,1,34,13,65,5,2,0,36,3,6,0,0,0,1,1,12,38,58,14
2020-02-20,2,2,1,1,37,13,25,5,1,0,27,2,7,0,0,0,1,1,9,62,69,14
2020-02-21,34,2,1,1,38,22,5,16,1,0,26,2,6,0,0,0,0,1,10,39,61,12
2020-02-22,72,2,1,1,60,61,4,53,2,0,25,2,8,0,0,0,1,1,11,69,56,16
2020-02-23,100,1,1,1,63,59,4,47,2,0,27,6,11,0,0,0,0,1,11,33,73,12
2020-02-24,90,1,1,1,30,16,7,7,1,0,29,3,7,0,0,0,1,1,12,24,65,16
2020-02-25,74,1,1,1,31,11,37,5,1,0,36,3,6,0,0,0,0,1,14,54,60,16
2020-02-26,57,1,1,1,34,12,51,4,1,0,47,3,7,0,0,0,1,1,12,36,58,12
2020-02-27,48,1,1,1,34,11,16,4,1,0,42,4,7,0,0,0,1,1,13,59,65,16
2020-02-28,41,1,1,1,30,15,4,7,1,0,41,4,8,0,0,0,1,1,12,37,57,14
2020-02-29,43,1,1,1,51,50,4,40,2,0,43,5,8,0,0,0,1,1,11,68,56,13
2020-03-01,39,1,2,1,64,49,4,38,2,0,51,6,10,0,0,0,1,2,15,34,70,11
2020-03-02,40,1,2,1,32,15,3,8,1,0,55,3,7,0,0,0,1,1,12,26,66,13
2020-03-03,41,1,1,1,34,15,3,5,2,0,47,5,9,0,0,0,1,1,12,59,60,16
2020-03-04,60,1,2,1,32,17,2,6,1,0,42,2,7,0,0,0,1,1,13,34,72,14
2020-03-05,53,1,1,1,27,13,2,6,1,0,48,2,7,0,0,0,1,1,15,60,57,15
2020-03-06,57,1,1,1,25,13,2,6,2,0,47,2,7,0,0,0,1,1,15,37,54,15
2020-03-07,70,1,1,1,38,25,2,14,2,0,46,3,7,0,0,0,1,1,17,68,50,11
2020-03-08,77,1,1,1,56,83,3,60,2,0,35,4,8,0,0,0,1,1,13,31,47,9
2020-03-09,81,1,1,1,24,29,5,13,1,0,29,2,6,0,0,0,1,1,18,21,51,10
2020-03-10,78,1,1,1,20,13,28,4,1,0,23,6,9,0,0,0,1,1,29,46,45,9
2020-03-11,80,1,0,1,20,7,41,2,0,0,20,7,10,0,0,0,1,1,30,26,40,10
2020-03-12,75,1,0,1,18,7,15,2,1,0,22,5,8,0,0,0,1,1,27,43,37,14
2020-03-13,65,1,1,1,17,6,4,2,2,0,27,5,9,0,0,0,1,1,33,28,38,13
2020-03-14,64,1,1,0,16,7,2,2,2,0,30,4,9,0,0,0,0,1,38,51,37,15
2020-03-15,68,1,1,0,16,6,2,2,1,0,25,9,15,0,0,0,1,1,39,24,36,13
2020-03-16,59,1,1,1,12,4,2,1,0,0,19,5,12,0,0,0,1,1,33,17,36,14
2020-03-17,57,1,1,0,15,6,2,2,1,0,19,3,13,0,0,0,1,3,32,42,35,12
