date,coronavirus,corona,coronavirus italia,notizie coronavirus,ultime coronavirus,news coronavirus,ultime notizie coronavirus,coronavirus milano,coronavirus lombardia,decreto coronavirus,coronavirus sintomi,casi coronavirus,coronavirus veneto,coronavirus oggi,coronavirus in italia,coronavirus contagi,contagi coronavirus,morti coronavirus,mappa coronavirus,coronavirus roma,coronavirus piemonte,campania coronavirus,bollettino coronavirus,coronavirus mondo,dati coronavirus,coronavirus sicilia
2020-01-01,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-04,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-11,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-12,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-19,0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-21,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03342159148340275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,1,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0668431829668055,0.0,0.0,0.0,0.020917346868622507,0.0,0.0,0.0,0.0,0.018282873547682547,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,2,0.46,0.1311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2005295489004165,0.0,0.0,0.0,0.020917346868622507,0.0,0.0,0.018654089937437553,0.0,0.018282873547682547,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,2,0.6900000000000001,0.1311,0.0,0.0,0.046604476799999996,0.0,0.0,0.0,0.0,0.23395114038381926,0.026403057271888172,0.0,0.0,0.020917346868622507,0.0,0.0,0.018654089937437553,0.0,0.018282873547682547,0.0,0.0,0.0,0.013006289978832982,0.0,0.0
2020-01-25,3,0.92,0.1311,0.05506199999999999,0.0,0.046604476799999996,0.046604476799999996,0.0,0.0,0.0,0.36763750631743025,0.026403057271888172,0.0,0.024322496358863382,0.020917346868622507,0.0,0.0,0.05596226981231266,0.0,0.03656574709536509,0.0,0.0,0.0,0.013006289978832982,0.0,0.0
2020-01-26,4,0.92,0.1311,0.05506199999999999,0.05065703999999999,0.09320895359999999,0.046604476799999996,0.045672387264,0.0,0.0,0.4344806892842357,0.026403057271888172,0.0,0.048644992717726765,0.041834693737245014,0.0,0.0,0.05596226981231266,0.018467549038063177,0.03656574709536509,0.0,0.0,0.0,0.013006289978832982,0.012746164179256322,0.0
2020-01-27,4,1.1500000000000001,0.2622,0.05506199999999999,0.05065703999999999,0.1398134304,0.046604476799999996,0.045672387264,0.0,0.0,0.401059097800833,0.026403057271888172,0.0,0.024322496358863382,0.041834693737245014,0.020498999931250057,0.020498999931250057,0.09327044968718777,0.036935098076126355,0.018282873547682547,0.0,0.0,0.0,0.013006289978832982,0.0,0.0
2020-01-28,8,1.84,0.6555,0.11012399999999999,0.10131407999999999,0.18641790719999998,0.09320895359999999,0.045672387264,0.0,0.0,0.9692261530186798,0.10561222908755269,0.0,0.048644992717726765,0.10458673434311254,0.0,0.0,0.13057862956206287,0.11080529422837906,0.054848620643047644,0.016088928721960643,0.0,0.0,0.026012579957665965,0.012746164179256322,0.01223631761208607
2020-01-29,7,1.84,0.3933,0.16518599999999997,0.10131407999999999,0.23302238399999997,0.09320895359999999,0.045672387264,0.0,0.0,0.7686966041182632,0.10561222908755269,0.0,0.048644992717726765,0.08366938747449003,0.0,0.0,0.14923271949950043,0.11080529422837906,0.12798011483377783,0.0,0.0,0.0,0.039018869936498946,0.012746164179256322,0.01223631761208607
2020-01-30,15,3.22,2.2287,0.27530999999999994,0.20262815999999997,0.4194402912,0.1398134304,0.137017161792,0.0,0.0,1.5373932082365265,0.5544642027096516,0.0,0.09728998543545353,0.5020163248469401,0.020498999931250057,0.020498999931250057,0.3544277088113135,0.24007813749482132,0.9872751715748576,0.016088928721960643,0.0,0.013006289978832982,0.07803773987299789,0.025492328358512645,0.01223631761208607
2020-01-31,22,4.37,3.0153,0.49555799999999994,0.40525631999999995,0.6524626751999999,0.2796268608,0.22836193632,0.0,0.0,2.5734625442220116,0.5808672599815398,0.19855099068459905,0.12161248179431691,0.7111897935331652,0.04099799986250011,0.04099799986250011,0.6342390578728768,0.36935098076126355,1.371215516076191,0.0,0.013836478700886152,0.013006289978832982,0.10405031983066386,0.03823849253776897,0.04894527044834428
2020-02-01,12,2.7600000000000002,1.4421,0.44049599999999994,0.35459927999999996,0.46604476799999994,0.2796268608,0.137017161792,0.044302215646079994,0.0,0.802118195601666,0.2904336299907699,0.049637747671149764,0.1459349781531803,0.3346775498979601,0.020498999931250057,0.020498999931250057,0.3730817987487511,0.22161058845675813,0.47535471223974624,0.0,0.013836478700886152,0.013006289978832982,0.09104402985183088,0.025492328358512645,0.01223631761208607
2020-02-02,8,1.84,0.6555,0.27530999999999994,0.20262815999999997,0.32623133759999995,0.23302238399999997,0.045672387264,0.0,0.0,0.36763750631743025,0.13201528635944088,0.024818873835574882,0.07296748907659015,0.16733877494898006,0.020498999931250057,0.020498999931250057,0.26115725912412574,0.1662079413425686,0.18282873547682546,0.0,0.0,0.013006289978832982,0.06503144989416491,0.012746164179256322,0.01223631761208607
2020-02-03,5,1.3800000000000001,0.3933,0.22024799999999997,0.15197112,0.23302238399999997,0.1398134304,0.045672387264,0.0,0.0,0.23395114038381926,0.07920917181566452,0.0,0.07296748907659015,0.08366938747449003,0.020498999931250057,0.020498999931250057,0.18654089937437554,0.14774039230450542,0.10969724128609529,0.0,0.0,0.013006289978832982,0.05202515991533193,0.025492328358512645,0.0
2020-02-04,5,1.1500000000000001,0.3933,0.22024799999999997,0.20262815999999997,0.23302238399999997,0.18641790719999998,0.045672387264,0.0,0.0,0.2005295489004165,0.07920917181566452,0.0,0.048644992717726765,0.08366938747449003,0.020498999931250057,0.020498999931250057,0.2051949893118131,0.11080529422837906,0.14626298838146037,0.0,0.013836478700886152,0.013006289978832982,0.039018869936498946,0.012746164179256322,0.0
2020-02-05,4,0.92,0.2622,0.22024799999999997,0.15197112,0.23302238399999997,0.1398134304,0.045672387264,0.0,0.0,0.10026477445020825,0.07920917181566452,0.024818873835574882,0.07296748907659015,0.08366938747449003,0.020498999931250057,0.020498999931250057,0.16788680943693798,0.12927284326644223,0.14626298838146037,0.016088928721960643,0.0,0.013006289978832982,0.039018869936498946,0.012746164179256322,0.0
2020-02-06,4,0.92,0.3933,0.16518599999999997,0.15197112,0.23302238399999997,0.1398134304,0.045672387264,0.0,0.0,0.133686365933611,0.07920917181566452,0.0,0.07296748907659015,0.06275204060586752,0.0,0.0,0.2051949893118131,0.11080529422837906,0.12798011483377783,0.0,0.0,0.013006289978832982,0.026012579957665965,0.025492328358512645,0.01223631761208607
2020-02-07,4,0.92,0.3933,0.16518599999999997,0.15197112,0.23302238399999997,0.1398134304,0.045672387264,0.0,0.0,0.16710795741701373,0.07920917181566452,0.0,0.048644992717726765,0.08366938747449003,0.020498999931250057,0.020498999931250057,0.18654089937437554,0.11080529422837906,0.10969724128609529,0.016088928721960643,0.0,0.013006289978832982,0.039018869936498946,0.03823849253776897,0.0
